Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
586.67	6.0000	55.007	0.018179	663.36	772.44	2.5946	0.88901	1.1192	368.15	1.9503	28.159	0.041903	vapor
588.33	6.0000	54.833	0.018237	664.88	774.31	2.5977	0.88986	1.1197	368.70	1.9364	28.220	0.042031	vapor
590.00	6.0000	54.660	0.018295	666.40	776.17	2.6009	0.89071	1.1203	369.25	1.9227	28.281	0.042159	vapor
591.67	6.0000	54.488	0.018353	667.92	778.04	2.6041	0.89156	1.1208	369.80	1.9091	28.342	0.042287	vapor
593.33	6.0000	54.317	0.018410	669.44	779.91	2.6072	0.89240	1.1213	370.35	1.8956	28.403	0.042415	vapor
595.00	6.0000	54.147	0.018468	670.97	781.78	2.6104	0.89324	1.1218	370.90	1.8822	28.464	0.042542	vapor
596.67	6.0000	53.979	0.018526	672.49	783.65	2.6135	0.89409	1.1224	371.45	1.8690	28.525	0.042670	vapor
598.33	6.0000	53.812	0.018583	674.02	785.52	2.6166	0.89493	1.1229	371.99	1.8559	28.585	0.042798	vapor
600.00	6.0000	53.645	0.018641	675.54	787.39	2.6198	0.89577	1.1234	372.54	1.8428	28.646	0.042926	vapor
601.67	6.0000	53.480	0.018698	677.07	789.26	2.6229	0.89660	1.1240	373.08	1.8300	28.707	0.043054	vapor
603.33	6.0000	53.317	0.018756	678.60	791.14	2.6260	0.89744	1.1245	373.62	1.8172	28.767	0.043182	vapor
605.00	6.0000	53.154	0.018813	680.13	793.01	2.6291	0.89827	1.1251	374.16	1.8045	28.828	0.043310	vapor
606.67	6.0000	52.992	0.018871	681.66	794.89	2.6322	0.89910	1.1256	374.70	1.7919	28.888	0.043438	vapor
608.33	6.0000	52.831	0.018928	683.19	796.76	2.6353	0.89993	1.1261	375.24	1.7795	28.948	0.043566	vapor
610.00	6.0000	52.672	0.018985	684.73	798.64	2.6383	0.90076	1.1267	375.78	1.7672	29.009	0.043693	vapor
611.67	6.0000	52.513	0.019043	686.26	800.52	2.6414	0.90159	1.1272	376.31	1.7549	29.069	0.043821	vapor
613.33	6.0000	52.356	0.019100	687.80	802.40	2.6445	0.90242	1.1278	376.85	1.7428	29.129	0.043949	vapor
615.00	6.0000	52.200	0.019157	689.34	804.28	2.6476	0.90324	1.1283	377.38	1.7308	29.189	0.044077	vapor
616.67	6.0000	52.044	0.019214	690.87	806.16	2.6506	0.90406	1.1289	377.91	1.7189	29.249	0.044204	vapor
618.33	6.0000	51.890	0.019272	692.41	808.04	2.6537	0.90488	1.1294	378.44	1.7070	29.309	0.044332	vapor
620.00	6.0000	51.737	0.019329	693.95	809.92	2.6567	0.90570	1.1300	378.97	1.6953	29.369	0.044460	vapor
621.67	6.0000	51.584	0.019386	695.49	811.81	2.6597	0.90652	1.1306	379.50	1.6837	29.429	0.044587	vapor
623.33	6.0000	51.433	0.019443	697.04	813.69	2.6628	0.90734	1.1311	380.03	1.6722	29.488	0.044715	vapor
625.00	6.0000	51.282	0.019500	698.58	815.58	2.6658	0.90815	1.1317	380.56	1.6608	29.548	0.044843	vapor
626.67	6.0000	51.133	0.019557	700.12	817.47	2.6688	0.90896	1.1322	381.08	1.6494	29.608	0.044970	vapor
628.33	6.0000	50.984	0.019614	701.67	819.35	2.6718	0.90977	1.1328	381.61	1.6382	29.667	0.045098	vapor
630.00	6.0000	50.837	0.019671	703.22	821.24	2.6748	0.91058	1.1334	382.13	1.6271	29.727	0.045225	vapor
631.67	6.0000	50.690	0.019728	704.76	823.13	2.6778	0.91139	1.1339	382.65	1.6160	29.786	0.045353	vapor
633.33	6.0000	50.544	0.019785	706.31	825.02	2.6808	0.91219	1.1345	383.17	1.6051	29.845	0.045480	vapor
635.00	6.0000	50.400	0.019841	707.86	826.91	2.6838	0.91300	1.1350	383.69	1.5942	29.905	0.045608	vapor
636.67	6.0000	50.256	0.019898	709.41	828.80	2.6867	0.91380	1.1356	384.21	1.5834	29.964	0.045735	vapor
